model_set,model_key,scope,camera,beach,island,p90,relMAE_all,relMAE_summer,relMAE_season,is_best
lstm,3d,OVERALL,ALL,,,,0.0719,0.0999,0.0859,False
lstm,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0961,,0.118,False
lstm,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1068,0.1402,0.1236,False
lstm,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1685,,0.1685,False
lstm,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0255,,0.0363,False
lstm,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0524,0.0664,0.0598,False
lstm,3d,per_beach,port-dandratx,Brismar,,41.0,0.0633,0.0731,0.0657,False
lstm,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0482,0.0616,0.0554,False
lstm,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.2234,0.2378,0.2234,False
lstm,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0934,0.1738,0.1172,False
lstm,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.2129,0.2616,0.2129,False
lstm,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.1585,,0.1225,False
lstm,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0607,0.0495,0.0591,False
lstm,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.064,,0.0688,False
lstm,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.085,0.0653,0.0743,False
lstm,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0434,0.0716,0.0475,False
lstm,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.105,0.0932,0.101,False
lstm,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0453,,0.0133,False
lstm,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0442,,0.0523,False
lstm,3d,per_beach,andratx,Brismar,,0.0,0.0013,0.0013,0.0013,False
lstm,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.073,0.0701,0.0774,False
lstm,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0403,0.043,0.0432,False
lstm,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0724,0.0904,0.079,False
lstm,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0805,,0.0905,False
lstm,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1424,0.2105,0.1865,False
lstm,3d,per_beach,platja-marina,Marina,,10.0,0.0424,0.0586,0.0554,False
lstm,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0661,,0.0765,False
lstm,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1794,0.2817,0.1965,False
lstm,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0141,0.02,0.0192,False
lstm,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0737,0.1445,0.118,False
lstm,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0475,0.0765,0.0579,False
lstm,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0247,0.034,0.0338,False
lstm,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0411,0.0842,0.0561,False
lstm,3d,per_beach,marina,Marina,,10.0,0.0591,0.0473,0.0527,False
lstm,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0587,,0.0667,False
lstm,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1264,0.1758,0.1544,False
lstm,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0075,0.0076,0.0081,False
lstm,3d,per_beach,port,Port,,6.0,0.0318,0.0561,0.0492,False
lstm,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0617,,,False
lstm,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.0638,,,False
lstm,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1167,,0.1002,False
lstm,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0789,,0.0941,False
lstm,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0394,,0.041,False
lstm,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0445,,0.1451,False
lstm,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0434,,0.0261,False
lstm,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1399,,0.1968,False
lstm,10d,OVERALL,ALL,,,,0.0982,0.1141,0.1103,False
lstm,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.2749,,0.461,False
lstm,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1132,0.1459,0.1324,False
lstm,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1688,,0.1688,False
lstm,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.6129,,1.2955,False
lstm,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0526,0.0656,0.0581,False
lstm,10d,per_beach,port-dandratx,Brismar,,41.0,0.0612,0.0709,0.0626,False
lstm,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0514,0.0734,0.0607,False
lstm,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.2053,0.2055,0.2053,False
lstm,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0943,0.1713,0.1208,False
lstm,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.2215,0.2632,0.2215,False
lstm,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1534,,0.1386,False
lstm,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0618,0.0562,0.0625,False
lstm,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0578,,0.068,False
lstm,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.094,0.0754,0.0885,False
lstm,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.1418,0.2192,0.1379,False
lstm,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1129,0.0971,0.1046,False
lstm,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.2348,,,False
lstm,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.1408,,0.0816,False
lstm,10d,per_beach,andratx,Brismar,,0.0,0.0018,0.0018,0.0018,False
lstm,10d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0778,0.0683,0.0828,False
lstm,10d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0681,0.0411,0.0433,False
lstm,10d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0787,0.0996,0.0854,False
lstm,10d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.081,,0.092,False
lstm,10d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.2525,0.2675,0.2587,False
lstm,10d,per_beach,platja-marina,Marina,,10.0,0.1068,0.1289,0.1304,False
lstm,10d,per_beach,cala-agulla,Cala Agulla,,8.0,0.1251,,0.1503,False
lstm,10d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1715,0.2445,0.1874,False
lstm,10d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0312,0.0489,0.0449,False
lstm,10d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0783,0.1384,0.1215,False
lstm,10d,per_beach,es-pujols,Es Pujols,,30.0,0.0585,0.0736,0.068,False
lstm,10d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0408,0.0501,0.0533,False
lstm,10d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0621,0.0914,0.0682,False
lstm,10d,per_beach,marina,Marina,,10.0,0.1207,0.087,0.1065,False
lstm,10d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.1423,,0.1789,False
lstm,10d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1421,0.1995,0.1696,False
lstm,10d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0221,0.0248,0.025,False
lstm,10d,per_beach,port,Port,,6.0,0.0515,0.0699,0.0679,False
lstm,10d,per_beach,cala-gat,Cala Gat,,4.0,0.1557,,,False
lstm,10d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1185,,,False
lstm,10d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1501,,0.1113,False
lstm,10d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.1808,,0.2089,False
lstm,10d,per_beach,port-pollenca,Port Pollença,,34.0,0.0608,,0.0406,False
lstm,10d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0932,,,False
lstm,10d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0645,,,False
lstm,10d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1949,,0.2385,False
lstm,15d,OVERALL,ALL,,,,0.0762,0.1094,0.092,False
lstm,15d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0756,,0.0864,False
lstm,15d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.111,0.1495,0.1285,False
lstm,15d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1687,,0.1687,False
lstm,15d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0228,,0.022,False
lstm,15d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0481,0.0619,0.0543,False
lstm,15d,per_beach,port-dandratx,Brismar,,41.0,0.0646,0.0778,0.0654,False
lstm,15d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0524,0.0746,0.061,False
lstm,15d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.2308,0.238,0.2308,False
lstm,15d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0931,0.1671,0.1134,False
lstm,15d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.2378,0.2643,0.2378,False
lstm,15d,per_beach,port-dandratx_2,Brismar,,288.0,0.2837,,0.3681,False
lstm,15d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0643,0.0623,0.0668,False
lstm,15d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0574,,0.0583,False
lstm,15d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0868,0.0731,0.0817,False
lstm,15d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0369,0.0493,0.0334,False
lstm,15d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1114,0.0973,0.1036,False
lstm,15d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0551,,,False
lstm,15d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0297,,0.0343,False
lstm,15d,per_beach,andratx,Brismar,,0.0,0.0007,0.0006,0.0007,False
lstm,15d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0711,0.0695,0.0784,False
lstm,15d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0355,0.034,0.0381,False
lstm,15d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0852,0.1332,0.0971,False
lstm,15d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0877,,0.0984,False
lstm,15d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.213,0.4152,0.2798,False
lstm,15d,per_beach,platja-marina,Marina,,10.0,0.0387,0.0517,0.0499,False
lstm,15d,per_beach,cala-agulla,Cala Agulla,,8.0,0.067,,0.0752,False
lstm,15d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1955,0.272,0.207,False
lstm,15d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0129,0.0182,0.0192,False
lstm,15d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0737,0.1529,0.1182,False
lstm,15d,per_beach,es-pujols,Es Pujols,,30.0,0.0512,0.0782,0.062,False
lstm,15d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.022,0.0289,0.0313,False
lstm,15d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0393,0.0875,0.0573,False
lstm,15d,per_beach,marina,Marina,,10.0,0.0564,0.0498,0.0489,False
lstm,15d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.052,,0.0552,False
lstm,15d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1456,0.2206,0.1785,False
lstm,15d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0045,0.0051,0.0051,False
lstm,15d,per_beach,port,Port,,6.0,0.0281,0.0392,0.0426,False
lstm,15d,per_beach,cala-gat,Cala Gat,,4.0,0.1356,,,False
lstm,15d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1515,,,False
lstm,15d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1538,,0.154,False
lstm,15d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0919,,0.1158,False
lstm,15d,per_beach,port-pollenca,Port Pollença,,34.0,0.0509,,0.0521,False
lstm,15d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0405,,,False
lstm,15d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.037,,0.0337,False
lstm,15d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1914,,0.2359,False
lstm_run_20260521_171426,3d,OVERALL,ALL,,,,0.0731,0.1014,0.0878,False
lstm_run_20260521_171426,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.083,,0.0884,False
lstm_run_20260521_171426,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1137,0.1435,0.1324,False
lstm_run_20260521_171426,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1769,,0.1769,False
lstm_run_20260521_171426,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0136,,0.0146,False
lstm_run_20260521_171426,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0516,0.0609,0.0561,False
lstm_run_20260521_171426,3d,per_beach,port-dandratx,Brismar,,41.0,0.062,0.0729,0.064,False
lstm_run_20260521_171426,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0472,0.061,0.055,False
lstm_run_20260521_171426,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.2167,0.2279,0.2167,False
lstm_run_20260521_171426,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0991,0.1799,0.1251,False
lstm_run_20260521_171426,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.2113,0.25,0.2113,False
lstm_run_20260521_171426,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.1458,,0.1154,False
lstm_run_20260521_171426,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0526,0.0419,0.0519,False
lstm_run_20260521_171426,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0727,,0.0832,False
lstm_run_20260521_171426,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0807,0.0664,0.0707,False
lstm_run_20260521_171426,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0308,0.0522,0.0329,False
lstm_run_20260521_171426,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1248,0.1114,0.1185,False
lstm_run_20260521_171426,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0514,,0.0151,False
lstm_run_20260521_171426,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0324,,0.0463,False
lstm_run_20260521_171426,3d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,False
lstm_run_20260521_171426,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0706,0.073,0.0792,False
lstm_run_20260521_171426,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0357,0.0408,0.0406,False
lstm_run_20260521_171426,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0772,0.1009,0.0841,False
lstm_run_20260521_171426,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0747,,0.0827,False
lstm_run_20260521_171426,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1477,0.2398,0.1999,False
lstm_run_20260521_171426,3d,per_beach,platja-marina,Marina,,10.0,0.0529,0.0773,0.0735,False
lstm_run_20260521_171426,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0622,,0.0761,False
lstm_run_20260521_171426,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1858,0.2835,0.2032,False
lstm_run_20260521_171426,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.012,0.0195,0.0184,False
lstm_run_20260521_171426,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0843,0.1569,0.1361,False
lstm_run_20260521_171426,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0554,0.0923,0.0684,False
lstm_run_20260521_171426,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0299,0.0471,0.0428,False
lstm_run_20260521_171426,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0363,0.0764,0.0509,False
lstm_run_20260521_171426,3d,per_beach,marina,Marina,,10.0,0.0645,0.0359,0.0487,False
lstm_run_20260521_171426,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.049,,0.0576,False
lstm_run_20260521_171426,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1424,0.1913,0.1775,False
lstm_run_20260521_171426,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0028,0.0021,0.0025,False
lstm_run_20260521_171426,3d,per_beach,port,Port,,6.0,0.0197,0.0295,0.0294,False
lstm_run_20260521_171426,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0592,,,False
lstm_run_20260521_171426,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.0654,,,False
